INFO autoreload /home/pearl/Desktop/Aiswarya/projects/Bus_Reservation/Bus_Reservation_System/Bus/views.py changed, reloading. 2022-11-08 06:33:40,767  251 29164 140342409369408
INFO autoreload Watching for file changes with StatReloader 2022-11-08 06:33:41,318  637 29189 139631207929664
INFO autoreload /home/pearl/Desktop/Aiswarya/projects/Bus_Reservation/Bus_Reservation_System/Bus/views.py changed, reloading. 2022-11-08 06:33:47,694  251 29189 139631207929664
INFO autoreload Watching for file changes with StatReloader 2022-11-08 06:33:48,185  637 29222 140117746669376
INFO basehttp "GET /api/buses HTTP/1.1" 200 1546 2022-11-08 06:33:52,504  161 29222 140117536405248
INFO basehttp "GET /admin/django_db_logger/statuslog/? HTTP/1.1" 200 6506 2022-11-08 06:33:59,691  161 29222 140117527488256
INFO basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3195 2022-11-08 06:33:59,726  161 29222 140117527488256
INFO basehttp "GET /admin/django_db_logger/statuslog/? HTTP/1.1" 200 6506 2022-11-08 06:34:02,649  161 29222 140117527488256
INFO basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3195 2022-11-08 06:34:02,684  161 29222 140117527488256
INFO basehttp "GET /admin/django_db_logger/statuslog/?level__exact=20 HTTP/1.1" 200 6652 2022-11-08 06:34:05,728  161 29222 140117527488256
INFO basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3195 2022-11-08 06:34:05,763  161 29222 140117527488256
INFO basehttp "GET /admin/django_db_logger/statuslog/? HTTP/1.1" 200 6506 2022-11-08 06:34:07,484  161 29222 140117527488256
INFO basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3195 2022-11-08 06:34:07,517  161 29222 140117527488256
INFO autoreload /home/pearl/Desktop/Aiswarya/projects/Bus_Reservation/Bus_Reservation_System/Bus_Reservation_System/settings.py changed, reloading. 2022-11-08 06:37:30,202  251 29222 140117746669376
